epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8645,2.10795,4.5688,1.77871,0.00126,0.13542,0.00115,0.00067,1.77334,3.9035,1.73159,0.00012861,0.00012861,0.00012861
2,22.0902,1.94897,3.51273,1.55751,0.00259,0.21111,0.10082,0.04573,1.71319,3.61051,1.44267,0.00026815,0.00026815,0.00026815
3,29.1464,1.76768,2.59504,1.42818,0.00547,0.39444,0.25216,0.13022,1.64559,3.44862,1.37586,0.000404153,0.000404153,0.000404153
4,35.8883,1.75664,2.16812,1.47372,0.00657,0.525,0.32107,0.18065,1.58522,3.25724,1.30826,0.00053662,0.00053662,0.00053662
5,43.1474,1.64184,1.99317,1.35705,0.00633,0.56736,0.34894,0.21399,1.54979,3.06043,1.32091,0.00066555,0.00066555,0.00066555
6,50.1851,1.60536,1.84407,1.30948,0.007,0.57847,0.42882,0.24376,1.6582,2.9911,1.34603,0.000790943,0.000790943,0.000790943
7,57.2536,1.58864,1.76527,1.27068,0.94588,0.17169,0.40349,0.19894,1.74285,2.88068,1.37791,0.000912799,0.000912799,0.000912799
8,64.1112,1.63353,1.74202,1.31283,0.85152,0.23676,0.43001,0.24477,1.69348,2.58473,1.34246,0.00103112,0.00103112,0.00103112
9,70.9862,1.61519,1.67311,1.32906,0.88637,0.45005,0.71987,0.35293,1.62904,2.13496,1.32643,0.0011459,0.0011459,0.0011459
10,78.068,1.50405,1.64983,1.2723,0.75086,0.52361,0.70244,0.36931,1.58811,1.77883,1.33972,0.00125715,0.00125715,0.00125715
11,84.7776,1.49522,1.6327,1.24481,0.6817,0.54253,0.71098,0.37058,1.62539,1.70327,1.34667,0.00125216,0.00125216,0.00125216
12,92.1313,1.46122,1.56452,1.26345,0.76804,0.73342,0.77328,0.40455,1.61236,1.48992,1.40684,0.00123448,0.00123448,0.00123448
13,99.1858,1.50536,1.4962,1.27824,0.7992,0.74105,0.75317,0.38287,1.60295,1.35223,1.39892,0.00121679,0.00121679,0.00121679
14,106.349,1.44246,1.39633,1.24237,0.75547,0.7201,0.72557,0.38425,1.56827,1.3191,1.37037,0.00119911,0.00119911,0.00119911
15,114.551,1.48879,1.38881,1.27303,0.79468,0.73056,0.73014,0.37293,1.60271,1.3363,1.35954,0.00118143,0.00118143,0.00118143
16,121.886,1.44896,1.39413,1.26066,0.75928,0.79145,0.74527,0.3896,1.56574,1.28181,1.32537,0.00116374,0.00116374,0.00116374
17,129.257,1.46672,1.3349,1.25585,0.79847,0.76455,0.76202,0.38646,1.62239,1.36781,1.38015,0.00114606,0.00114606,0.00114606
18,136.037,1.51436,1.38365,1.23879,0.82016,0.80223,0.81687,0.41574,1.5269,1.18191,1.32709,0.00112837,0.00112837,0.00112837
19,142.772,1.42284,1.341,1.20744,0.71495,0.734,0.71694,0.39515,1.473,1.18733,1.29213,0.00111069,0.00111069,0.00111069
20,149.31,1.41148,1.3075,1.21512,0.81643,0.72149,0.77513,0.42206,1.57078,1.14266,1.35903,0.00109301,0.00109301,0.00109301
21,155.864,1.35196,1.22029,1.18268,0.83443,0.69335,0.75379,0.43065,1.56551,1.12806,1.3227,0.00107532,0.00107532,0.00107532
