epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7854,2.2261,4.62839,1.88227,0.00102,0.11111,0.0007,0.00039,1.92246,3.96802,1.94981,5.716e-05,5.716e-05,5.716e-05
2,27.6613,2.1117,4.40334,1.82125,0.0014,0.15556,0.00106,0.00055,1.85049,3.84919,1.72119,0.000115878,0.000115878,0.000115878
3,32.6709,2.01543,3.84943,1.66313,0.00274,0.33333,0.04822,0.02525,1.76654,3.80586,1.62385,0.000160448,0.000160448,0.000160448
4,37.6314,1.90341,3.2316,1.55435,0.0033,0.37778,0.147,0.07644,1.64453,3.72879,1.53157,0.000190872,0.000190872,0.000190872
5,42.9913,1.80375,2.84085,1.50293,0.00442,0.44444,0.3319,0.16709,1.55905,3.54821,1.40364,0.000207148,0.000207148,0.000207148
6,47.693,1.72352,2.62058,1.46275,0.00428,0.4,0.3273,0.19638,1.55893,3.48593,1.43121,0.000209277,0.000209277,0.000209277
7,52.2239,1.71452,2.3592,1.47569,0.00567,0.53333,0.3771,0.21095,1.56791,3.3606,1.34494,0.000197259,0.000197259,0.000197259
8,56.8892,1.67626,2.23493,1.43934,0.00613,0.55556,0.5045,0.24024,1.51805,3.27741,1.2944,0.000171094,0.000171094,0.000171094
9,61.6325,1.62076,2.05871,1.39223,0.00655,0.57778,0.51416,0.23609,1.55124,3.17233,1.36957,0.000130782,0.000130782,0.000130782
10,66.5858,1.57326,2.01501,1.37048,0.00696,0.6,0.53454,0.26185,1.56982,3.10202,1.35646,7.63229e-05,7.63229e-05,7.63229e-05
